Título,Año y Kms,Ubicación,Precio,Marca,Modelo,Subtipo,Recorrido,Climatización,Tracción,Color,Placa Número,Vidrios,Transmisión,Dirección,Motor,Tapizado,Combustible,Placa,Imagen URL
Nissan X-Trail,2013 211000 Kms.,Negociable,$ 11.400,Nissan,X-Trail,Todoterreno,211000 Kms,Aire Acondicionado,4 x 2,Plata,7,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025111/1874866/o_o/pt_1874866_1277445.jpg
BYD Seagull,2025 272 Kms.,Negociable,$ 21.400,BYD,Seagull,Hatchback (5 Puertas),272 Kms,Aire Acondicionado,N/A,Blanco,8,Eléctricos,Automática,Electrónica,0,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025118/1876256/o_o/pt_1876256_2057091.jpg
Ford Escape S,2015 156000 Kms.,Negociable,$ 13.900,Ford,Escape S,Todoterreno,156000 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Automática,Hidráulica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868199/o_o/pt_1868199_7909111.jpg
Kia Sportage,2020 72900 Kms.,Negociable,$ 22.900,Kia,Sportage,Todoterreno,72900 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877112/o_o/pt_1877112_9474477.jpg
Kia Sportage R,2020 72900 Kms.,Negociable,$ 22.900,Kia,Sportage R,Todoterreno,72900 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877113/o_o/pt_1877113_9602577.jpg
Kia SPORTAGE R GTI,2020 72000 Kms.,Negociable,$ 22.900,Kia,SPORTAGE R GTI,Todoterreno Ligero,72000 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877114/o_o/pt_1877114_9736417.jpg
2021 · Toyota NEW RAV4 AC 2.0 5P,202129000 Kms · Quito,Negociable,$ 33.900,Toyota,NEW RAV4 AC 2.0 5P,Todoterreno,29000 Kms,Aire Acondicionado,4 x 2,Plata,4,Eléctricos,Automática,Hidráulica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241226/1872734/o_o/pt_1872734_6537739.jpeg
1998 · Ford Explorer 5P,1998234629 Kms · Quito,Negociable,$ 6.900,Ford,Explorer 5P,Todoterreno,234629 Kms,Aire Acondicionado,4 x 4,Dorado,0,Eléctricos,Automática,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1412025/1875456/o_o/1875456_1736881357953_692.jpg
BMW X5 XDRIVE 45E,2020 22000 Kms.,Fijo,$ 73.000,BMW,X5 XDRIVE 45E,,,,,,,,,,,,,,
Kia SOUL EV,2016 7511 Kms.,Negociable,$ 12.900,Kia,SOUL EV,SUV,7511 Kms,Aire Acondicionado,4 x 2,Gris,8,Eléctricos,Automática,Hidráulica,81.4 kW,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877386/o_o/pt_1877386_7381915.jpg
Hyundai Tucson,2007 215000 Kms.,Negociable,$ 9.800,Hyundai,Tucson,Todoterreno,215000 Kms,Aire Acondicionado,4 x 2,Beige,6,Eléctricos,Tiptronic,Hidráulica,215000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877392/o_o/pt_1877392_8157358.jpg
Audi A6 3.0T,2023 28456 Kms.,Negociable,$ 59.900,Audi,A6 3.0T,Sedán,28456 Kms,Climatizador,N/A,Azul,8,Eléctricos,Automática,Electrónica,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877382/o_o/pt_1877382_6720067.jpg
Chevrolet SPARK GT LS,2019 128000 Kms.,Negociable,$ 9.900,Chevrolet,SPARK GT LS,,,,,,,,,,,,,,
Ford ESCAPE XLS,2008 188780 Kms.,Negociable,$ 9.900,Ford,ESCAPE XLS,Todoterreno Ligero,188780 Kms,Aire Acondicionado,AWD,Azul,6,Eléctricos,Automática,Asistida,3000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877372/o_o/pt_1877372_4791037.jpeg
Chevrolet Tracker LS,2018 151000 Kms.,Negociable,$ 14.900,Chevrolet,Tracker LS,,,,,,,,,,,,,,
Tata K4DEF,2019 5000 Kms.,Negociable,$ 76.900,Tata,K4DEF,Van de Carga,5000 Kms,Aire Acondicionado,6 x 4,Blanco,3,Eléctricos,Manual,Hidráulica,11100,Tela,Diesel,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877413/o_o/pt_1877413_669754.jpeg
Chevrolet Grand Vitara 5p 4x2,2012 180000 Kms.,Negociable,$ 9.800,Chevrolet,Grand Vitara 5p 4x2,Todoterreno,180000 Kms,Aire Acondicionado,4 x 2,Plomo,6,Eléctricos,Automática,Hidráulica,2000,Tela,Gasolina,Imbabura,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877371/o_o/pt_1877371_5511488.jpeg
Mitsubishi Outlander,2003 280000 Kms.,Negociable,$ 6.300,Mitsubishi,Outlander,Crossover,280000 Kms,N/A,4 x 2,Negro,1,Eléctricos,Automática,Hidráulica,2400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877367/o_o/pt_1877367_543413.jpeg
Hyundai Elantra,1995 244637 Kms.,Negociable,$ 3.990,Hyundai,Elantra,Sedán,244637 Kms,N/A,4 x 2,Blanco,8,Manuales,Manual,Mecánica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877361/o_o/pt_1877361_3601679.jpeg
DFSK IX5,2023 17275 Kms.,Negociable,$ 17.900,DFSK,IX5,Todoterreno,17275 Kms,Climatizador,4 x 2,Blanco,9,Eléctricos,Automática,Electrónica,1500,Cuero,Gasolina,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877345/o_o/pt_1877345_1938372.jpg
Suzuki Samurai SJ,1986 1 Kms.,Negociable,$ 4.990,Suzuki,Samurai SJ,Todoterreno,1 Kms,N/A,4 x 4,Rojo,4,Manuales,Manual,Mecánica,1300,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877357/o_o/pt_1877357_3229094.jpeg
Great Wall Haval H6,2019 126000 Kms.,Negociable,$ 13.900,Great Wall,Haval H6,,,,,,,,,,,,,,
Mazda BT-50 CD 4x2,2016 174000 Kms.,Negociable,$ 16.500,Mazda,BT-50 CD 4x2,,,,,,,,,,,,,,
Suzuki Grand Vitara SZ,2019 116558 Kms.,Negociable,$ 14.300,Suzuki,Grand Vitara SZ,Hatchback (5 Puertas),116558 Kms,Aire Acondicionado,4 x 2,Negro,4,Eléctricos,Manual,Hidráulica,2,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877363/o_o/pt_1877363_1488404.jpeg
Land Rover Range Rover,2020 12610 Mi.,Negociable,$ 195.900,Land Rover,Range Rover,,,,,,,,,,,,,,
Hyundai Kona Sel,2023 4000 Kms.,Negociable,$ 22.900,Hyundai,Kona Sel,Todoterreno,4000 Kms,Aire Acondicionado,4 x 2,Azul,9,Eléctricos,Automática,Hidráulica,1600,Otro,Híbrido,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20122024/1872101/o_o/1872101_1737731077316_353.jpg
Toyota Fortuner 4.0,2019 103000 Kms.,Negociable,$ 42.900,Toyota,Fortuner 4.0,Todoterreno,103000 Kms,Aire Acondicionado,4 x 4,Negro,0,Eléctricos,Automática,Electrónica,4000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871089/o_o/pt_1871089_9493484.jpg
Toyota New Fortuner,2019 103000 Kms.,Negociable,$ 42.900,Toyota,New Fortuner,Todoterreno,103000 Kms,Aire Acondicionado,4 x 4,Negro,0,Eléctricos,Automática,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871088/o_o/pt_1871088_9305895.jpg
Ram V700 RAPID,2024 25000 Kms.,Negociable,$ 16.900,Ram,V700 RAPID,Van de Carga,25000 Kms,Aire Acondicionado,4 x 2,Blanco,0,Manuales,Manual,Hidráulica,1400,Tela,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024129/1869684/o_o/pt_1869684_6207364.jpg
Ford Escape,2013 156000 Kms.,Negociable,$ 13.900,Ford,Escape,SUV,156000 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868195/o_o/pt_1868195_7262968.jpg
Kia Sportage LX,2015 1670000 Kms.,Negociable,$ 13.900,Kia,Sportage LX,,,,,,,,,,,,,,
Nissan X-Trail,2013 211000 Kms.,Negociable,$ 11.400,Nissan,X-Trail,Todoterreno,211000 Kms,Aire Acondicionado,4 x 2,Plata,7,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025111/1874866/o_o/pt_1874866_1277445.jpg
BYD Seagull,2025 272 Kms.,Negociable,$ 21.400,BYD,Seagull,Hatchback (5 Puertas),272 Kms,Aire Acondicionado,N/A,Blanco,8,Eléctricos,Automática,Electrónica,0,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025118/1876256/o_o/pt_1876256_2057091.jpg
Ford Escape S,2015 156000 Kms.,Negociable,$ 13.900,Ford,Escape S,Todoterreno,156000 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Automática,Hidráulica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868199/o_o/pt_1868199_7909111.jpg
Kia Sportage,2020 72900 Kms.,Negociable,$ 22.900,Kia,Sportage,Todoterreno,72900 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877112/o_o/pt_1877112_9474477.jpg
Kia Sportage R,2020 72900 Kms.,Negociable,$ 22.900,Kia,Sportage R,Todoterreno,72900 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877113/o_o/pt_1877113_9602577.jpg
Kia SPORTAGE R GTI,2020 72000 Kms.,Negociable,$ 22.900,Kia,SPORTAGE R GTI,Todoterreno Ligero,72000 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877114/o_o/pt_1877114_9736417.jpg
Renault Duster,2018 93000 Kms.,Negociable,$ 15.600,Renault,Duster,SUV,93000 Kms,Aire Acondicionado,4 x 2,Negro,7,Eléctricos,Manual,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877120/o_o/pt_1877120_2117817.jpg
Renault Duster 2.0,2018 93000 Kms.,Negociable,$ 15.600,Renault,Duster 2.0,Todoterreno,93000 Kms,Aire Acondicionado,4 x 2,Plomo,7,Eléctricos,Manual,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877123/o_o/pt_1877123_2468281.jpg
Volkswagen Tiguan,2018 109000 Kms.,Negociable,$ 20.400,Volkswagen,Tiguan,Todoterreno,109000 Kms,Aire Acondicionado,N/A,Azul,8,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877124/o_o/pt_1877124_2584090.jpg
Nissan X-Trail Xtreme,2013 211000 Kms.,Negociable,$ 11.400,Nissan,X-Trail Xtreme,Todoterreno,211000 Kms,Aire Acondicionado,4 x 2,Plata,7,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025111/1874864/o_o/pt_1874864_1145885.jpg
Ford F150 Lariat,2015 0 Kms.,Negociable,$ 34.900,Ford,F150 Lariat,Camioneta Doble Cabina,77000 Millas,Aire Acondicionado,4 x 4,Blanco,4,Eléctricos,Automática,Electrónica,3500,Cuero,Gasolina,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241126/1867412/o_o/pt_1867412_5623550.JPG
Toyota Hilux CD 4x4 Diesel,2022 120000 Kms.,Negociable,$ 46.900,Toyota,Hilux CD 4x4 Diesel,,,,,,,,,,,,,,
2015 · Kia Sportage,2015190000 Kms · Quito,Negociable,$ 16.500,Kia,Sportage,,,,,,,,,,,,,,
2022 · Toyota Hilux CD 4X4,202212000 Kms · Ambato,Negociable,$ 40.990,Toyota,Hilux CD 4X4,,,,,,,,,,,,,,
Ford F150 Lariat,2015 0 Kms.,Negociable,$ 34.900,Ford,F150 Lariat,Camioneta Doble Cabina,77000 Millas,Aire Acondicionado,4 x 4,Blanco,4,Eléctricos,Automática,Electrónica,3500,Cuero,Gasolina,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241126/1867412/o_o/pt_1867412_5623550.JPG
Toyota Hilux CD 4x4 Diesel,2022 120000 Kms.,Negociable,$ 46.900,Toyota,Hilux CD 4x4 Diesel,,,,,,,,,,,,,,
Nissan Rogue,2009 115000 Kms.,Negociable,$ 9.300,Nissan,Rogue,Todoterreno,115000 Kms,Aire Acondicionado,4 x 4,Negro,4,Eléctricos,Automática,Hidráulica,2.500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025121/1876765/o_o/pt_1876765_7200436.jpeg
Chevrolet Silverado,2010 86000 Mi.,Negociable,$ 16.900,Chevrolet,Silverado,Camioneta Doble Cabina,86000 Millas,Aire Acondicionado,4 x 2,Negro,6,Eléctricos,Automática,Hidráulica,5600,Cuero,Híbrido,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/16102024/1860014/o_o/1860014_1729121204399_983.jpg
Foton TUNLAND G,2023 92000 Kms.,Negociable,$ 20.900,Foton,TUNLAND G,,,,,,,,,,,,,,
Nissan X-Trail,2014 152000 Kms.,Negociable,$ 13.400,Nissan,X-Trail,,,,,,,,,,,,,,
Mitsubishi Outlander,2014 158000 Kms.,Negociable,$ 15.600,Mitsubishi,Outlander,Todoterreno,158000 Kms,Aire Acondicionado,4 x 4,Plata,8,Eléctricos,Automática,Electrónica,3000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241211/1870427/o_o/pt_1870427_7676274.jpg
Mitsubishi Outlander Sport,2014 158000 Kms.,Negociable,$ 15.600,Mitsubishi,Outlander Sport,Todoterreno Ligero,158000 Kms,Aire Acondicionado,4 x 4,Plata,8,Eléctricos,Automática,Hidráulica,3000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241211/1870428/o_o/pt_1870428_7802098.jpg
Ford Explorer 5P,1999 109000 Kms.,Negociable,$ 8.400,Ford,Explorer 5P,Todoterreno,109000 Kms,Aire Acondicionado,4 x 2,Vino,6,Eléctricos,Manual,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873699/o_o/pt_1873699_5813864.jpg
Chevrolet Silverado Hibrido,2010 86000 Mi.,Negociable,$ 16.900,Chevrolet,Silverado Hibrido,,,,,,,,,,,,,,
Hyundai Tucson,2012 167000 Kms.,Negociable,$ 13.900,Hyundai,Tucson,Todoterreno,167000 Kms,Aire Acondicionado,4 x 2,Plata,7,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202518/1874244/o_o/pt_1874244_8703647.jpg
Ford Explorer,2018 80000 Kms.,Negociable,$ 31.900,Ford,Explorer,,,,,,,,,,,,,,
Ford Explorer XLT,2018 80000 Kms.,Negociable,$ 31.900,Ford,Explorer XLT,,,,,,,,,,,,,,
Suzuki VITARA GL PLUS,2022 86600 Kms.,Negociable,$ 18.600,Suzuki,VITARA GL PLUS,Todoterreno,86600 Kms,Aire Acondicionado,4 x 2,Azul,1,Eléctricos,Manual,Electrónica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/18102024/1860382/o_o/1860382_1729256218280_654.jpg
Suzuki Vitara,2022 86600 Kms.,Negociable,$ 18.600,Suzuki,Vitara,Crossover,86600 Kms,Aire Acondicionado,4 x 2,Azul,1,Eléctricos,Manual,Electrónica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/18102024/1860381/o_o/1860381_1729256111680_764.jpg
Kia Stonic,2024 20000 Kms.,Negociable,$ 17.900,Kia,Stonic,Crossover,20000 Kms,Aire Acondicionado,4 x 2,Rojo,7,Eléctricos,Manual,Electrónica,1000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025115/1875651/o_o/pt_1875651_5793345.jpg
Kia Stonic LX,2024 20000 Kms.,Negociable,$ 17.900,Kia,Stonic LX,Crossover,20000 Kms,Aire Acondicionado,4 x 2,Rojo,7,Eléctricos,Manual,Electrónica,1000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025115/1875652/o_o/pt_1875652_5910571.jpg
Mazda CX-5,2019 138000 Kms.,Negociable,$ 22.400,Mazda,CX-5,SUV,138000 Kms,Aire Acondicionado,4 x 2,Rojo,6,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025116/1875949/o_o/pt_1875949_432731.jpg
Mazda CX- 5 CORE,2019 138000 Kms.,Negociable,$ 22.400,Mazda,CX- 5 CORE,SUV,138000 Kms,Aire Acondicionado,4 x 2,Rojo,6,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025116/1875952/o_o/pt_1875952_588108.jpg
Toyota Fortuner,2024 6300 Kms.,Negociable,$ 66.900,Toyota,Fortuner,Todoterreno,6300 Kms,Aire Acondicionado,4 x 4,Negro,3,Eléctricos,Automática,Electrónica,4000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025122/1876888/o_o/pt_1876888_4248560.jpg
Toyota Fortuner 4.0,2024 6300 Kms.,Fijo,$ 66.900,Toyota,Fortuner 4.0,Todoterreno,6300 Kms,Aire Acondicionado,4 x 4,Negro,4,Eléctricos,Automática,Electrónica,4000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025122/1876889/o_o/pt_1876889_4495214.jpg
Ford Explorer,2001 304000 Kms.,Negociable,$ 7.900,Ford,Explorer,Todoterreno,304000 Kms,Aire Acondicionado,4 x 4,Rojo,2,Eléctricos,Manual,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025122/1876890/o_o/pt_1876890_4672947.jpg
Ford Explorer XLT,2001 304000 Kms.,Negociable,$ 7.900,Ford,Explorer XLT,Todoterreno,304000 Kms,Aire Acondicionado,4 x 4,Rojo,2,Eléctricos,Manual,Electrónica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025122/1876891/o_o/pt_1876891_4817567.jpg
Chevrolet Aveo Emotion,2018 104000 Kms.,Negociable,$ 11.900,Chevrolet,Aveo Emotion,Sedán,104000 Kms,Aire Acondicionado,4 x 2,Plata,0,Eléctricos,Manual,Hidráulica,1600,Tela,Gasolina,Imbabura,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/16102024/1859999/o_o/1859999_1729119677692_879.jpg
Mazda New BT-50,2020 119000 Kms.,Negociable,$ 29.900,Mazda,New BT-50,Camioneta Doble Cabina,119000 Kms,Aire Acondicionado,4 x 4,Plomo,5,Eléctricos,Automática,Asistida,3200,Cuero,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024102/1857146/o_o/pt_1857146_7396303.jpg
Toyota Hilux,2022 120000 Kms.,Negociable,$ 46.900,Toyota,Hilux,,,,,,,,,,,,,,
Jeep Wrangler,2011 101000 Kms.,Fijo,$ 39.900,Jeep,Wrangler,Todoterreno,101000 Kms,Aire Acondicionado,4 x 4,Azul,2,Eléctricos,Automática,Hidráulica,,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241125/1867138/o_o/pt_1867138_5765927.jpg
Renault STEPWAY INTENS FASE,2024 17000 Kms.,Negociable,$ 16.900,Renault,STEPWAY INTENS FASE,Station Wagon,17000 Kms,Aire Acondicionado,4 x 2,Plomo,1,Eléctricos,Automática,Electrónica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873243/o_o/pt_1873243_232484.jpg
Jeep wrangler unlimited,2011 101000 Kms.,Negociable,$ 39.900,Jeep,wrangler unlimited,Todoterreno,101000 Kms,Aire Acondicionado,4 x 4,Azul,2,Eléctricos,Automática,Electrónica,,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241125/1867142/o_o/pt_1867142_5909220.jpg
Nissan X-Trail,2014 133000 Kms.,Negociable,$ 13.900,Nissan,X-Trail,Todoterreno,133000 Kms,Aire Acondicionado,4 x 2,Plata,0,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873229/o_o/pt_1873229_8856333.jpg
BMW 328i,2008 176844 Kms.,Negociable,$ 15.900,BMW,328i,Sedán,176844 Kms,Aire Acondicionado,N/A,Negro,7,Eléctricos,Automática,Hidráulica,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024116/1863655/o_o/pt_1863655_8083596.jpg
Nissan X-Trail,2013 145000 Kms.,Negociable,$ 12.900,Nissan,X-Trail,,,,,,,,,,,,,,
Changan HUNTER,2024 30000 Kms.,Negociable,$ 26.600,Changan,HUNTER,Camioneta Doble Cabina,30000 Kms,Aire Acondicionado,4 x 4,Plata,4,Eléctricos,Manual,Electrónica,1900,Tela,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873691/o_o/pt_1873691_4988663.jpg
Ford Territory,2022 56000 Kms.,Negociable,$ 21.900,Ford,Territory,Todoterreno,56000 Kms,Aire Acondicionado,4 x 2,Celeste,8,Eléctricos,Automática,Electrónica,1500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873700/o_o/pt_1873700_5937687.jpg
Ford TERRITORY TREND,2022 56000 Kms.,Negociable,$ 21.900,Ford,TERRITORY TREND,Crossover,56000 Kms,Aire Acondicionado,4 x 2,Celeste,8,Eléctricos,Automática,Electrónica,1500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873701/o_o/pt_1873701_6060269.jpg
2019 · Chevrolet BEAT PREMIER,201992829 Kms · Quito,Negociable,$ 10.300,Chevrolet,BEAT PREMIER,Sedán,92829 Kms,Aire Acondicionado,4 x 2,Blanco,2,Eléctricos,Manual,Electrónica,1200,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025118/1876286/o_o/pt_1876286_6817839.jpeg
2019 · Mercedes Benz C200,201951038 Kms · Guayaquil,Fijo,$ 35.500,Mercedes Benz,C200,Sedán,51038 Kms,Climatizador Bi-Zona,4 x 2,Azul,2,Eléctricos,Automática,Asistida,2000,Cuero,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024527/1829391/o_o/pt_1829391_3775082.jpg
Changan HUNTER,2024 30000 Kms.,Negociable,$ 26.600,Changan,HUNTER,Camioneta Doble Cabina,30000 Kms,Aire Acondicionado,4 x 4,Plata,4,Eléctricos,Manual,Electrónica,1900,Tela,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873691/o_o/pt_1873691_4988663.jpg
Ford Territory,2022 56000 Kms.,Negociable,$ 21.900,Ford,Territory,Todoterreno,56000 Kms,Aire Acondicionado,4 x 2,Celeste,8,Eléctricos,Automática,Electrónica,1500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873700/o_o/pt_1873700_5937687.jpg
Ford TERRITORY TREND,2022 56000 Kms.,Negociable,$ 21.900,Ford,TERRITORY TREND,Crossover,56000 Kms,Aire Acondicionado,4 x 2,Celeste,8,Eléctricos,Automática,Electrónica,1500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873701/o_o/pt_1873701_6060269.jpg
Mazda CX-9,2014 149000 Kms.,Negociable,$ 18.600,Mazda,CX-9,Todoterreno,149000 Kms,Aire Acondicionado,4 x 4,Verde,1,Eléctricos,Automática,Electrónica,3700,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873708/o_o/pt_1873708_7061672.jpg
Mazda CX-9 TOP GRADE,2014 149000 Kms.,Negociable,$ 18.600,Mazda,CX-9 TOP GRADE,Todoterreno,149000 Kms,Aire Acondicionado,4 x 4,Verde,1,Eléctricos,Automática,Hidráulica,3700,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873709/o_o/pt_1873709_7221924.jpg
